video_id,titulo,categoria,fecha_publicacion,duracion_segundos,views_totales,likes,comentarios
golazo_sint_0000,Nuestra opinión tras el partido #1,Opinión post-partido,2015-04-24,412,1303,37,8
golazo_sint_0001,Análisis del partido - Jornada 2,Seguimiento del club,2015-05-02,456,11440,486,94
golazo_sint_0002,Rumores de fichajes: novedad #3,Fichajes,2015-05-16,60,3457,128,34
golazo_sint_0003,Análisis del partido - Jornada 4,Seguimiento del club,2015-05-28,759,2833,127,16
golazo_sint_0004,Análisis del partido - Jornada 5,Seguimiento del club,2015-06-13,192,13859,454,75
golazo_sint_0005,Análisis del partido - Jornada 6,Seguimiento del club,2015-06-25,169,9150,417,110
golazo_sint_0006,Análisis del partido - Jornada 7,Seguimiento del club,2015-07-09,386,3840,185,32
golazo_sint_0007,Así vive la afición el partido #8,Afición,2015-07-15,79,912,33,6
golazo_sint_0008,Curiosidad futbolística #9,Curiosidades de fútbol,2015-07-30,2463,10560,484,96
golazo_sint_0009,Análisis del partido - Jornada 10,Seguimiento del club,2015-08-09,486,3408,150,19
golazo_sint_0010,Nuestra opinión tras el partido #11,Opinión post-partido,2015-08-22,529,3470,143,29
golazo_sint_0011,Análisis del partido - Jornada 12,Seguimiento del club,2015-09-06,60,12148,511,139
golazo_sint_0012,Curiosidad futbolística #13,Curiosidades de fútbol,2015-09-15,485,4782,231,53
golazo_sint_0013,Nuestra opinión tras el partido #14,Opinión post-partido,2015-09-28,415,579,28,4
golazo_sint_0014,Curiosidad futbolística #15,Curiosidades de fútbol,2015-10-14,2035,2945,115,22
golazo_sint_0015,Análisis del partido - Jornada 16,Seguimiento del club,2015-10-25,550,8473,347,90
golazo_sint_0016,Curiosidad futbolística #17,Curiosidades de fútbol,2015-11-04,858,3863,142,39
golazo_sint_0017,Análisis del partido - Jornada 18,Seguimiento del club,2015-11-19,60,19672,633,109
golazo_sint_0018,Curiosidad futbolística #19,Curiosidades de fútbol,2015-12-03,447,2098,103,25
